ISBN,Titulo,Autor,Ano,Editora,ID_usuario,Notas
671832107,RESURRECTION,George Gipe,1980,Pocket,11676,1
440174147,Regina's Song,S. C. Cohen,1980,Bantam Books (Mm),11676,1
515081558,Public Murders,Bill Granger,1984,Jove Books,11676,9
399125647,Blood and Dreams,Leslie Waller,1980,Putnam Pub Group,11676,3
425103242,Book of Merlyn,T. H. White,1987,Berkley Publishing Group,11676,2
752827642,The House Husband,Owen Whittaker,2003,Orion,11676,9
8483100827,El Color Del Verano/the Color of Summer (Coleccion Andanzas),Reinaldo Arenas,1999,Tusquets,11676,4
840803961X,UN Largo Silencio,Angeles Caso,2003,Planeta Pub Corp,11676,7
333386019,The Secret Diary of Adrian Mole Aged 13 3/4 (M-Books),Sue Townsend,1985,Nelson Thornes,11676,3
034531977X,Tarzan of the Apes: Tarzan No. 1 (Tarzan),Edgar Rice Burroughs,1993,Ballantine Books,11676,3
1879237806,Postpartum Survival Guide,Ann Dunnewold,1994,New Harbinger Publications,11676,8
912500123,Mothering Your Nursing Toddler,Norma J. Bumgarner,1982,LA Leche League Intl,11676,10
140042334,To a God Unknown,"John, Steinbeck",1986,Penguin USA,11676,2
702020206,Breastfeeding Special Care Babies,Sandra Lang,1996,Harcourt,11676,4
8420634107,Los Pazos de Ulloa,Emilia Pardo Bazan,1966,Alianza Editorial,11676,7
1858684498,The World of Arthur Conan Doyle,Martin Fido,1998,Carlton Books Limited,11676,3
1886913439,Celtic Childhood,Bill Watkins,2000,Ruminator Books,11676,3
8420630306,Nuestros Antepasados/Our Ancestors,Italo Calvino,1985,Alianza,11676,1
140280707,Calm for Life,Paul Wilson,2004,Penguin Books Ltd,11676,10
30071933,Sherlock Holmes: My Life and Crimes,Michael Hardwick,1986,Henry Holt & Co,11676,8
869143026,Headlines,Debra Adelaide,1993,McPhee Gribble,11676,7
747275580,"Arthur, the Dragon King: The Barbarian Roots of Britain's Greatest Legend",Howard Reid,2001,Headline,11676,9
719551269,Watching in the Dark: A Child's Fight for Life,Artemis Cooper,1993,Trafalgar Square,11676,3
8420430714,Todos Los Nombres (Alfaguara),Jose Saramago,1999,"Alfaguara Ediciones, S.A. (Spain)",11676,5
552139440,Diana's Story,Deric Longden,1993,"Acacia Press, Inc.",11676,1
8425327733,Tus Zonas Erroneas,Wayne W. Dyer,1995,Grijalbo,11676,10
8435069079,Troya,Gisbert Haefs,2003,Planeta Pub Corp,11676,2
186373872X,The Scold's Bridle,Minette Walters,1995,Allen & Unwin,11676,4
8495971429,De Parte De LA Princesa Muerta,Kenize Mourat,2003,Planeta Pub Corp,11676,3
207188173,The How-to of Being a Working Mother (Parenting Series),Belinda Henwood,1996,HarperCollins Publishers (Australia) Pty Ltd,11676,2
8478885757,LA Amante De Bolzano (Narrativa),Sandor Marai,2003,Oceano De Mexico,11676,9
805041346,"Healing Mind, Healthy Woman: Using the Mind-Body Connection to Manage Stress and Take Control of Your Life",Alice D. Domar,1996,Henry Holt & Co,11676,6
434009407,Hannibal,Thomas Harris,0,William Heinemann Ltd(england,11676,9
60930233,The Omega Diet: The Lifesaving Nutritional Program Based on the Diet of the Island of Crete,Artemis P. Simopoulos,1999,Quill,11676,3
385320159,My Mother/My Self : The Daughter's Search for Identity,NANCY FRIDAY,1997,Delta,11676,3
843970514X,Memorias de Un Nomada,Paul Bowles,2000,Mondadori (IT),11676,8
312026145,A Mother's Story: The Truth About the Baby m Case,Mary Beth Whitehead,1989,St Martins Pr,11676,9
712672826,Time Shifting,Stephan Rechtschaffen,1996,Rider,11676,10
1855856905,Lillian Too's Easy-to-Use Feng Shui: 168 Ways to Success,Lillian Too,1999,Sterling Publishing,11676,9
747268495,The Seventh Son,Reay Tannahill,2002,Review,11676,1
804114854,Service of All the Dead,COLIN DEXTER,1996,Ivy Books,11676,7
804114900,Last Bus to Woodstock,Colin Dexter,1996,Ivy Books,11676,8
751519782,Time for Bed,David Baddiel,1997,Time Warner Paperbacks,11676,9
743219589,A Mind to Murder,P.D. James,2001,Touchstone,11676,4
141182539,Lolita,Vladimir Nabokov,0,Penguin Putnam~trade,11676,2
1877246107,Maori myths & legendary tales,A. W Reed,1999,New Holland Publishers (NZ),11676,6
156924488X,"More Secrets of Happy Children: Embrace Your Power as a Parent--and Help Your Children be Confident, Positive, Well-Adjusted and Happy",Steve Biddulph,2003,Marlowe & Company,11676,8
890878536,Raising Boys: Why Boys Are Different-And How to Help Them Become Happy and Well-Balanced Men,Steve Biddulph,1998,Celestial Arts,11676,6
747507716,Do Not Disturb: Giving Our Children Room to Grow,Deborah Jackson,1993,Bloomsbury Publishing Plc,11676,2
751533068,"Gone, But Not Forgotten / After Dark (Phillip Margolin Omnibus)",Phillip M. Margolin,2002,Time Warner Books UK,11676,6
722534310,When I Go to Work I Feel Guilty: A Working Mother's Guide to Sanity and Survival,Jenny Mosley,1998,Thorsons Publishers,11676,1
330398199,Daring Dan: Pump Street Primary Book 8,Bob Wilson,2003,Pan Books - Macmillan UK,11676,6
074755756X,Waltzing Through Flaws,Paula Sharp,2002,Bloomsbury Publishing Plc,11676,5
385476973,The Great Shame: And the Triumph of the Irish in the English-Speaking World,Thomas Keneally,1999,Doubleday Books,11676,9
671894560,POCKET POWTER : QUESTIONS AND ANSWERS TO HELP YOU CHANGE THE WAY YOU LOOK AND FEEL FOREVER,Susan Powter,1994,Fireside,11676,8
517881349,Body and Soul: Profits With Principles-The Amazing Success Story of Anita Roddick and the Body Shop,Anita Roddick,1994,Crown Publishing Group (NY),11676,9
140620907,The Woodlanders (Penguin Popular Classics),Thomas Hardy,1994,Penguin Books Ltd,11676,8
395686660,Knowledge of Angels,Jill Paton Walsh,1994,Houghton Mifflin Company,11676,0
747528209,Multiple Sclerosis,Chris McLaughlin,1997,Bloomsbury Publishing Plc,11676,2
9998914140,Multiple Sclerosis,Judy Graham,1988,HarperCollins (paper),11676,1
888902328,Creative Parenting: The Complete Guide to Child Care,William Sears,1992,Optimum Pub Intl,11676,6
340632410,Little Angels: Everything You Need to Know to Have a Better-behaved Child from Birth to Ten,William Sears MD,1995,Hodder & Stoughton General Division,11676,9
743412737,Rediscovering Birth,Sheila Kitzinger,2001,Atria,11676,8
316857432,A big boy did it and ran away,Christopher Brookmyre,2001,"Little, Brown",11676,0
734402317,Parenting By Heart,Pinky McKay,2000,Lothian Books,11676,4
9999980538,Murphy's Law,Colin Bateman,2002,Headline,11676,1
708995055,Deep Waters (Spectrum (Ulverscroft)),Malcolm Rose,2000,Ulverscroft Large Print,11676,0
708995098,Magic Eye (Spectrum (Ulverscroft)),Malcolm Rose,2000,Ulverscroft Large Print,11676,7
385174985,The Diamond Waterfall,Pamela Haines,1984,Doubleday Books,11676,1
140621032,Ghost Stories (Penguin Popular Classics),M.R. James,1994,Penguin Books Ltd,11676,3
385153090,The Kissing Gate,Pamela Haines,1981,Bantam Dell Pub Group,11676,2
439010713,Eve's Party (Point Horror Unleashed S.),Nick Turnbull,1999,Scholastic Point,11676,2
2223929,Men on white horses,Pamela Haines,1978,Collins,11676,1
6176992,Tea at Gunter's,Pamela Haines,1989,HarperCollins Publishers,11676,6
349100438,Kingdom come,Bernice Rubens,1991,Abacus,11676,4
805064699,Time Management from the Inside Out: The Foolproof System for Taking Control of Your Schedule and Your Life,Julie Morgenstern,2000,Owl Books,11676,5
708995179,Fire and Water (Point Crime (Ulverscroft)),Malcolm Rose,2001,Ulverscroft Large Print,11676,6
48230871,"The Lord of the rings,",J. R. R Tolkien,1968,Allen and Unwin,11676,5
749307803,The Hanging Tree,Allan Massie,1991,Mandarin,11676,10
48233862,"The hobbit, or, There and back again",J. R. R Tolkien,1987,Unwin Hyman,11676,8
446528072,"The Battle of Evernight (The Bitterbynde, Book 3)",Cecilia Dart-Thornton,2003,Aspect,11676,0
446611344,"The Lady of the Sorrows : The Bitterbynde Book II (The Bitterbynde, Book 2)",Cecilia Dart-Thornton,2003,Aspect,11676,7
451210255,The Bone Collector,Jeffrey Deaver,2003,Nal Trade,11676,6
743211472,Fresh Milk: The Secret Life of Breasts,Fiona Giles,2003,Simon & Schuster,11676,10
671042122,Cold Hit (Alexandra Cooper Mysteries (Hardcover)),Linda A. Fairstein,2000,Pocket Books,11676,6
044900323X,Day of Atonement (Peter Decker & Rina Lazarus Novels (Paperback)),Faye Kellerman,1998,Fawcett Books,11676,8
061815082X,"The Hobbit (Young Adult edition, Sis cover)",J. R. R. Tolkien,2001,Houghton Mifflin Company,11676,10
345466616,Blood Test,JONATHAN KELLERMAN,2003,Ballantine Books,11676,5
345460731,The Web,JONATHAN KELLERMAN,2003,Ballantine Books,11676,3
044021226X,Cold Case (Carlotta Carlyle Mysteries (Paperback)),Linda Barnes,1998,Dell Publishing Company,11676,9
1582341958,Mangoes and Quince,Carol Field,2002,Bloomsbury Publishing (NY),11676,6
345460685,Silent Partner,Jonathan Kellerman,2003,Ballantine Books,11676,4
394506510,Women as mothers,Sheila Kitzinger,1978,Random House,11676,0
385423810,The Makeover Murders,Jennifer Rowe,1993,Bantam Dell Pub Group,11676,8
342310578X,Der Baron Auf Den Baeumen,Italo Calvino,0,Deutscher Taschenbuch Verlag,11676,8
839828268,The Traitors,William Stuart Long,1984,Gregg Pr,11676,0
440103304,"The Adventurers (Australians, Vol 5)",William Stuart Long,1983,Dell Publishing Company,11676,10
1853261858,"Plays of Oscar Wilde (Wordsworth Collection , Vol 2)",Oscar Wilde,1999,NTC/Contemporary Publishing Company,11676,2
330344404,"If You Leave Me, Can I Come Too?",Cynthia Heimel,1996,Pan Macmillan,11676,0
1568494750,Dawn's Early Light,Elswyth Thane,1996,Buccaneer Books,11676,6
670910619,Matthew Flinders' Cat,Bryce Courtenay,0,Penguin Books Australia Ltd,11676,5
670878782,Solomon's song,Bryce Courtenay,1999,Viking,11676,4
449911357,Fried Green Tomatoes at the Whistle Stop Cafe (Ballantine Reader's Circle),Fannie Flagg,1997,Ballantine Books,11676,0
312043279,Herald of Joy,Pamela Belle,1990,St Martins Pr,11676,1
425092186,The Chains of Fate,Pamela Belle,1986,Berkley Pub Group,11676,4
465008089,Call to Home: African Americans Reclaim the Rural South,Carol B. Stack,1997,Basic Books,11676,8
330269194,The Moon in the Water,Pamela Belle,1985,Pan Macmillan,11676,4
740715283,Dear Mom Thank You For Everything,Bradley Trevor Greive,2001,Andrews McMeel Publishing,11676,8
140714510,The Taming of the Shrew (Pelican Shakespeare),William Shakespeare,2000,Penguin Books,11676,4
451628268,Paradise Lost and Other Poems,John Milton,1996,Signet Book,11676,1
2234440,The Raven on the Water,Andrew Taylor,1991,HarperCollins Publishers,11676,2
671881612,Isabel'S Bed,Elinor Lipman,1996,Pocket,11676,1
071267554X,The Delivery,Mark Chisnell,1996,Century,11676,6
425051552,Laughter/Best Medicin,Readers Digest,1981,Berkley Publishing Group,11676,0
330269089,Letters From a Fainthearted Feminist,Jill Tweedie,0,Pan Books Ltd,11676,1
449213110,Take It Easy Charlie Brown,Charles Schulz,1983,Ballantine Books,11676,10
345348427,Color Me Beautiful Make-Up Book,Carole Jackson,1988,Ballantine Books,11676,3
B00009NDAN,Winter Solstice,Rosamunde Pilcher,2000,St. Martin's Press,11676,7
960989803,For Today (Order # 6102),Overeaters Anonymous,1991,"Overeaters Anonymous, Incorporated",11676,8
671252240,"Looking Good, Feeling Beautiful",Charles Tracy,1983,Bookthrift Co,11676,0
449000729,Sarum: The Novel of England,Edward Rutherfurd,1997,Ballantine Books,11676,7
64440451,Morris Goes to School (I Can Read Book 1),B. Wiseman,1983,HarperTrophy,11676,2
068486424X,"YESTERDAY, I CRIED : Celebrating the Lessons of Living and Loving",Iyanla Vanzant,1999,Simon & Schuster,11676,6
890873216,The Only Diet There Is,Sondra Ray,1982,Celestial Arts,11676,9
743219554,An Unsuitable Job for a Woman,P.D. James,2001,Touchstone,11676,10
811833003,The Bridesmaid Guide,Kate Chynoweth,2003,Chronicle Books,11676,9
130616443,"First-Year Teacher's Survival Kit: Ready-to-Use Strategies, Tools & Activities for Meeting the Challenges of Each School Day",Julia G.  Thompson,2002,Jossey-Bass,11676,0
425175472,Cat Among the Pigeons (Hercule Poirot Mysteries (Paperback)),Agatha Christie,2004,Berkley Publishing Group,11676,7
044991058X,When Women Stop Hating Their Bodies: Freeing Yourself from Food and Weight Obsession,Jane R. Hirschmann,1997,Ballantine Books,11676,7
1843092549,Vegetarian-the Best Ever Recipe Collection,Linda Fraser,2001,Chain Sales,11676,1
646418432,Agatha Christie's Mysterious Affair at Styles,Agatha Christie,2002,Deodand Publishing,11676,8
707102014,The marine aquarium for the home aquarist,Robert F O'Connell,1969,Gifford,11676,9
345303318,Take a letter yourself!,Kathy Matthews,1982,Ballantine Books,11676,0
869142941,Cocaine blues,Kerry Greenwood,1992,McPhee Gribble,11676,8
080661711X,Friendship Factor: How to Get Closer to the People You Care for,Alan L. McGinnis,1979,Augsburg Fortress Publishers,11676,4
449148327,Murder on the Ballarat Train,Kerry Greenwood,1993,Fawcett Books,11676,8
086914362X,Ruddy gore,Kerry Greenwood,1995,McPhee Gribble Publishers,11676,3
671866397,Warriors Don't Cry : Searing Memoir of Battle to Integrate Little Rock,Melba Patillo Beals,1995,Washington Square Press,11676,4
446391735,Getting Organized,Stephanie Winston,1991,Warner Books,11676,6
590452509,The Twinkie Squad,Gordon Korman,1994,Scholastic,11676,8
385729200,Vicky Angel,Jacqueline Wilson,2001,Delacorte Press,11676,2
044048068X,Snaggle Doodles (Kids of the Polk Street School),Patricia Reilly Giff,1985,Yearling Books,11676,9
863696503,"A Bike Ride: 12,000 Miles Around the World",Anne Mustoe,2002,Virgin Publishing,11676,7
849981212,Handling Your Ups and Downs: A Children's Book About Emotions (Ready-Set-Grow),Joy Wilt Berry,1978,Thomas Nelson Inc,11676,4
60931906,Red Sky at Morning : A Novel (Perennial Classics),Richard Bradford,1999,Perennial,11676,8
895772183,"How to Do Just About Anything/a Money-Saving A-To Z Guide to over 1,200 Practical Problems",Reader's Digest,1986,Putnam Pub Group,11676,5
1566197945,Puzzles for Pleasure,E R Emmet,0,Barnes Noble Books,11676,4
60264306,Little House in the Big Woods (Little House),Laura Ingalls Wilder,1953,HarperCollins,11676,4
205331920,Including Students with Special Needs: A Practical Guide for Classroom Teachers (3rd Edition),Marilyn Friend,2001,Allyn & Bacon,11676,7
812511980,Prey,Ken Goddard,1993,Tor Books,11676,7
761122087,Break a Leg!: The Kid's Guide to Acting and Stagecraft,Lise Friedman,2002,Workman Publishing,11676,2
72346949,Concepts In Biology,Eldon  Enger,2002,McGraw-Hill Science/Engineering/Math,11676,7
749931000,Like a Diamond,Malcolm Ross,1999,Judy Piatkus Publishers Ltd,11676,7
534073387,Business Communications: Principles and Methods,William C. Himstreet,1987,Kent Pub. Co.,11676,0
679003800,Fodor's Upclose Ireland (Fodor's Upclose Ireland),Melanie Sponholz,2000,Fodor's Travel Publications,11676,8
811830195,Cheap Frills: Fabulous Facelifts for Your Clothes,Jennifer Knapp,2001,Chronicle Books,11676,4
515111597,Nightworld,F. Paul Wilson,1993,Jove Books,11676,5
089577397X,Ufo: The Continuing Enigma (Quest for the Unknown),Readers Digest Editors,1991,Reader's Digest Association,11676,3
394487699,How to Be Your Own Best Friend: A Conversation With Two Psychoanalysts,Mildred Newman,1973,Random House Inc,11676,9
782141668,Age of Mythology: Sybex Official Strategies & Secrets,Doug Radcliffe,2002,Sybex Books,11676,4
761539743,Rollercoaster Tycoon 2: Prima's Official Strategy Guide (Prima's Official Strategy Guides),David Knight,2002,Prima Games,11676,10
609610554,The Wild Parrots of Telegraph Hill : A Love Story . . .with Wings,MARK BITTNER,2004,Harmony Books,11676,0
037371095X,together by christmas,C.J. Carmichael,2002,Harlequin,11676,6
679434771,The Farewell Symphony: A Novel,Edmund White,1997,Alfred A. Knopf,11676,0
679786694,Vintage Contemporaries Reader,Marty Asher,0,Random House~trade,11676,3
380727005,The Longest Memory,Fred D'Aguiar,1996,Harpercollins,11676,10
195002288,Religion and Science,Bertrand Russell,1961,Oxford University Press,11676,1
767913795,Who's Looking Out for You?,BILL O'REILLY,2003,Broadway,11676,3
1585360775,Birdbaths and Paper Cranes: A Family Tale,Sharon Randall,2001,Gale Group,11676,0
60808276,Have His Carcase,Dorothy L. Sayers,1986,HarperCollins Publishers,11676,3
740738224,I Think There's A Terrorist In My Soup:  How to Survive Personal and World Problems with Laughter - Seriously,David Brenner,2003,Andrews McMeel Publishing,11676,0
151010102,Kartography,Kamila Shamsie,2003,Harcourt,11676,3
312284187,The Angel with One Hundred Wings: A Tale from the Arabian Nights,Daniel Horch,2002,Thomas Dunne Books,11676,1
394717732,Glass Key,Dashiell Hammett,1972,Vintage Books USA,11676,0
087113845X,On a Wave,Thad Ziolkowski,2002,Grove Press,11676,7
1582341656,All Families are Psychotic,Douglas Coupland,2001,Bloomsbury USA,11676,2
60952946,The Full Monty,Wendy Holden,1998,HarperCollins Publishers,11676,10
486266877,The School for Scandal (Dover Thrift Editions),Richard Brinsley Sheridan,1991,Dover Publications,11676,2
684809966,Easy Riders Raging Bulls : How the Sex-Drugs-And Rock 'N Roll Generation Saved Hollywood,Peter Biskind,1998,Simon & Schuster,11676,4
1400033543,You Shall Know Our Velocity,DAVE EGGERS,2003,Vintage,11676,5
345450299,A Breath of Fresh Air (Ballantine Reader's Circle),Amulya Malladi,2003,Ballantine Books,11676,10
517704102,The Politically Correct Guide to American History,Edward P. Moser,1996,Random House Inc,11676,5
1569472831,Motherland,Vineeta Vijayaraghavan,2002,Soho Press,11676,1
385495110,The Parables of Joshua,JOSEPH GIRZONE,2001,Doubleday,11676,1
425044602,If It's Raining This Must Be the Weekend,Nancy Stahl,1980,Berkley Publishing Group,11676,5
1585741523,The Last Laugh: The Final Word from the First Name in Satire,S. J. Perelman,2000,The Lyons Press,11676,5
385321759,The Watsons Go to Birmingham - 1963 (Newbery Honor Book),CHRISTOPHER PAUL CURTIS,1995,Delacorte Books for Young Readers,11676,2
380480743,King of the Jews,Leslie Epstein,1985,Avon Books,11676,0
1561705721,Home Design With Feng Shui A-Z (Hay House Lifestyles),Teran Kathyn Collins,1999,Hay House,11676,5
312140622,Visitation,Don Cushman,1996,St Martins Pr,11676,4
806970588,"Feng Shui for Cats: By Cats, For Cats",Roni Jay,1998,Sterling Publishing,11676,1
966187997,"A Valley to Die for: The First Something to Die for Mystery (Nehring, Radine Trees, Something to Die for Series,)",Radine Trees Nehring,2002,St Kitts Press,11676,10
1565075323,Money Management for Those Who Don't Have Any,James L. Paris,1997,Harvest House Publishers,11676,2
805462856,The Financially Confident Woman,Mary Hunt,1996,Broadman & Holman Publishers,11676,1
553110993,One Hundred and One Ways,Mako Yoshikawa,1999,Bantam Dell Pub Group,11676,6
029779440X,Cat calls: Cat-egories for the naming of cats,Alastair MacGregor,1988,Weidenfeld & Nicolson,11676,10
66210852,"The Blue Bear: A True Story of Friendship, Tragedy, and Survival in the Alaskan Wilderness",Lynn Schooler,2002,Ecco,11676,4
837104211,Casket of Reminisences,Henry Stuart Foote,1969,Greenwood Press Reprint,11676,4
059500489X,The Real Me,Betty Miles,2000,Backinprint.com,11676,7
738204412,The Hurried Child: Growing Up Too Fast Too Soon (3rd edition),David Elkind,2001,Perseus Publishing,11676,1
1579213286,Cover Girl Uncovered: A Woman's Journey,Karin Holstein,2001,WinePress Publishing,11676,5
771025440,"The D-Day Dodgers: The Canadians in Italy, 1943-1945",Daniel G. Danocks,1991,McClelland & Stewart Ltd,11676,2
684863561,Where Are the Children?,Mary Higgins Clark,1999,Simon & Schuster,11676,4
920501168,Island of champions: A sporting history of Vancouver Island,Cleve Dheensaw,1988,Orca Book Publishers,11676,0
553273213,"Goodbye, Mr. Chips",James Hilton,1983,Bantam,11676,3
609806874,"Lucky Stars: Use Astrology to Get the Scoop on Life, Love, and Friendship",Amanda Owen,2001,Three Rivers Press (CA),11676,10
048622791X,The Wood Beyond the World,William Morris,1972,Dover Publications,11676,8
1885356552,"If You Loved Me (Reynolds, Marilyn, True-to-Life Series from Hamilton High.)",Marilyn Reynolds,1999,Morning Glory Press (CA),11676,5
842337490,Glory (Brides of the West #4),Lori Copeland,2000,Heartquest,11676,7
440941113,I Can Stop Anytime I Want,James Trivers,1977,Bantam Books (Mm),11676,7
440918537,Did You Hear What Happened to Andrea (Laurel Leaf Books),Gloria Miklowitz,1984,Dell Publishing Company,11676,4
3701387,Airport International: Level 4 - Intermediate (Nelson Readers),Brian Moynahan,1982,Penguin Longman Publishing,11676,7
1563097354,"Cassie, You're a Winner! (Adventures in Misty Falls Ser. 1)",Renee Kent,2000,New Hope Publishers (AL),11676,8
140276882,Laurie Lee : The Well-Loved Stranger,Valerie Grove,2001,Penguin Books,11676,5
821763652,"Class Action (Precious Gem Romance, #197)",Kat Attalla,1999,Zebra Books,11676,8
8466303022,MÃ¡s PlatÃ³n y menos Prozac,Lou Marinoff,2001,Punto de Lectura,11676,3
399135081,Bitter Sweet,LaVyrle Spencer,1990,Putnam Pub Group,11676,4
553280287,The Effect of Gamma Rays on Man-In-The-Moon Marigolds,PAUL ZINDEL,1984,Bantam,11676,8
553250728,"The Perfect Summer (Sweet Valley High, Super Edition)",Francine Pascal,1985,Sweet Valley,11676,1
553380966,The Diamond Age (Bantam Spectra Book),Neal Stephenson,2000,Bantam,11676,0
446605417,Man of the Hour,Peter Blauner,2000,Warner Books,11676,2
812571983,Deep As the Marrow (Deep as the Marrow),F. Paul Wilson,1998,Tor Books,11676,4
812575911,Elixir,Gary Braver,2001,Tor Books,11676,5
310903947,"Teen Study Bible, Revised",Larry Richards,1999,Zondervan Publishing Company,11676,6
425097250,Floating Dragon,Peter Straub,1994,Berkley Publishing Group,11676,5
310226465,The Case for Christ: A Journalist's Personal Investigation of the Evidence for Jesus,Lee Strobel,1998,Zondervan Publishing Company,11676,1
451173376,Such Devoted Sisters,Eileen Goudge,1994,Signet Book,11676,6
553299352,Bring Me the Head of Prince Charming,Roger Zelazny,1992,Spectra Books,11676,4
445200359,Find Me a Villain,Margaret Yorke,1985,Warner Books,11676,2
805022988,Give Us a Kiss: A Country Noir,Daniel Woodrell,1996,Henry Holt & Co,11676,4
395349222,City : A Story of Roman Planning and Construction,David Macaulay,1983,Houghton Mifflin/Walter Lorraine Books,11676,8
595229883,"Dinosaur Memories: Dino-trekking for Beasts of Thunder, Fantastic Saurians, 'Paleo-people,' 'Dinosaurabilia,' and other 'Prehistoria'",Allen Debus,2002,Author's Choice Press,11676,0
373260075,Full House,Shelly Singer,1988,Worldwide Library,11676,8
380707640,December Stillness,Mary Downing Hahn,1990,HarperTrophy,11676,4
373638345,Outlanders: Devil in the Moon,James Axler,2002,Gold Eagle,11676,1
440414237,101 Ways to Bug Your Parents,Lee Wardlaw,1998,Yearling Books,11676,1
679447156,Eight Weeks to Optimum Health: A Proven Program for Taking Full Advantage of Your Body's Natural Healing Power (Proven Program for Taking Full Advantage of Your Body's Natural Healing Power),Andrew Weil,1997,Alfred A. Knopf,11676,2
670517410,Nothing's Fair in Fifth Grade,Barthe Declements,1981,Viking Books,11676,0
743418263,Music & Silence,Rose Tremain,2001,Washington Square Press,11676,10
345395050,Voice of the Turtle: American Indian Literature 1900-1970,Paula Gunn Allen,1995,One World,11676,7
762704225,Walking Easy in the Swiss & Austrian Alps,Chet Lipton,1999,Globe Pequot,11676,8
385014856,Guests of the Sheik: An Ethnography of an Iraqi Village,Elizabeth Warnock Fernea,1969,Anchor,11676,6
449126102,Go to Your Room!,Bil Keane,1993,Fawcett Books,11676,10
442001177,Statistical Quality Control for the Food Industry,Merton R. Hubbard,1990,Kluwer Academic Pub,11676,1
671527320,Pirates,Linda Lael Miller,1995,Pocket Books,11676,10
8495501023,Pantaleon y las Visitadoras,Mario Vargas Llosa,2002,Suma de Letras,11676,0
440225515,Multiple Listing (Sydney Teaque Mysteries),Anne Underwood Grant,1998,Dell Publishing Company,11676,10
451518144,Little Women,Louisa May Alcott,1983,Signet Book,11676,8
1555868630,"Challenge of Peace: God's Promise and Our Response a Pastoral Letter on War and Peace (Publication / Office of Publishing and Promotion Services, U)",National Catholic News Service,1984,Hunter Publishing,11676,1
871138344,"The Bureau and the Mole: The Unmasking of Robert Philip Hanssen, the Most Dangerous Double Agent in FBI History",David A. Vise,2001,Atlantic Monthly Press,11676,3
716736373,Discovering the Universe,Neil F. Comins,1999,W H Freeman & Co,11676,10
816714622,Old-Fashioned Girl (Watermill Classic),Louisa May Alcott,1988,Troll Communications,11676,5
130305367,Instructional Media and Technologies for Learning (7th Edition),Robert Heinich,2001,Prentice Hall,11676,9
380703203,The Hunky-Dory Dairy (Camelot),Anne Lindbergh,1988,Harpercollins Juvenile Books,11676,3
047136522X,"Classroom Discipline & Management, 3rd Edition",Clifford H.  Edwards,1999,Wiley Text Books,11676,5
72322381,Classroom Teaching Skills,Kenneth D Moore,2000,McGraw-Hill Humanities/Social Sciences/Languages,11676,5
534561152,Argumentation and Debate: Critical Thinking for Reasoned Decision Making,Austin J. Freeley,1999,Wadsworth Publishing,11676,0
671213326,Art Of Dramatic Writing : Its Basis in the Creative Interpretation of Human Motives,Lajos Egri,1972,Touchstone,11676,6
878300759,Alternative Shakespeare Auditions for Men (Theatre Arts (Routledge Paperback)),Simon Dunmore,1998,Routledge,11676,10
553382160,The Complete Fairy Tales of the Brothers Grimm,Jacob Grimm,2003,Bantam,11676,1
300078552,The Elements of Teaching,"James M., Jr. Banner",1999,Yale University Press,11676,10
174059276X,Lonely Planet Belize (Lonely Planet Belize),Carolyn Miller Carlstroem,2002,Lonely Planet Publications,11676,1
440400171,Night Cry,Phyllis Reynolds Naylor,1993,Yearling Books,11676,5
803493762,Yesterday's Dream (Avalon Romance),Joann Sands,1999,Avalon Books,11676,3
380702754,Alex Haley's Queen: The Story of an American Family,Alex Haley,1994,Harper Mass Market Paperbacks (Mm),11676,6
1878825046,"Secrets, Lies and Democracy (The Real Story Series)",Noam Chomsky,2002,Odonian Press,11676,0
1930045077,One World,Tal Brooke,2000,End Run Publishing,11676,7
345376714,The Autobiography of Malcolm X,Malcolm X,1992,Ballantine Books,11676,5
671722719,Julius Caesar,William Shakespeare,1992,Washington Square Press,11676,8
812505085,Treasure Island,Robert Louis Stevenson,1989,Tor Books,11676,4
933833571,Beacham's Sourcebook For Teaching Young Adult Fiction: Exploring Harry Potter,Elizabeth D. Schafer,2000,Beacham Publishing Corporation,11676,2
1551110164,"Love in Excess; Or, the Fatal Enquiry (Broadview Literary Texts)",Eliza Haywood,1995,Broadview Press,11676,8
807281913,"Harry Potter and the Chamber of Secrets (Book 2, Audio)",J. K. Rowling,1999,Listening Library,11676,6
068482681X,Six Great Ideas,Mortimer J. Adler,1997,Touchstone,11676,4
807281751,"Harry Potter and the Sorcerer's Stone (Book 1, Audio)",J. K. Rowling,1999,Listening Library,11676,2
067960135X,Wuthering Heights (Modern Library (Hardcover)),Emily Bronte,1994,Modern Library,11676,1
031226481X,We Love Harry Potter!,Sharon Moore,1999,St. Martin's Press,11676,7
970844204,The Magical Worlds of Harry Potter,David Colbert,2001,Lumina Press,11676,5
1857230302,State of the Art,Ian Banks,0,Firebird Distributing,11676,1
439314550,Conversations with J.K. Rowling,Lindsey Fraser,2001,Scholastic,11676,1
307965406,A Treasury of Little golden books: 30 best-loved stories,Ellen L. Buell,1982,Golden Press,11676,5
1585160555,Holy Bible: Contemporary English Version,Not Applicable (Na ),2000,American Bible Society,11676,0
553275720,Fantastic Voyage,Isaac Asimov,1988,Bantam,11676,1
866835407,BCP Parish Ecomony Edition Red,BCP7230,1983,HarperSanFrancisco,11676,5
156027593,The Cyberiad,Stanislaw Lem,2002,Harvest Books,11676,9
765116928,The Comedies (Shakespeare Series),William Shakespeare,1999,Smithmark Publishers,11676,1
